Name,Category,Location,Size,Description,Automation Opportunity,Owner/Contact Person,Email,Phone,Website
Burdick Tours,Tour Operator,Sonoma County,Small owner-operated,Custom wine tours and private tours - the smallest local wine tour company with personalized service,Custom itinerary bookings; client follow-up sequences; tour confirmation reminders; post-tour engagement and repeat booking incentives,John Burdick,info@burdicktours.com,(707) 996-3200,www.burdicktours.com
California Wine Tours,Tour Operator,Napa Valley/Sonoma,10-20 employees,Personalized Napa & Sonoma wine tours with transportation included and specialized itineraries,Booking confirmation sequences; transportation coordination reminders; group management; post-tour review requests; repeat customer discounts,General Inquiries,info@californiawinetours.com,(707) 253-1300,www.californiawinetours.com
Sonoma Valley Trolley Tours,Tour Operator,Sonoma Valley,8-12 people,Hop-on-hop-off trolley tours of historic Sonoma Valley with fixed routes and seasonal schedules,Daily schedule publishing; booking coordination; capacity alerts; guide assignment; passenger manifest automation,General Inquiries,info@sonomavalleywinetrolley.com,(707) 938-2600,www.sonomavalleywinetrolley.com
Warm Springs Tours,Tour Operator,Sonoma County,Small team,Adventure tours; rafting; outdoor experiences in Sonoma area,Booking reminders with safety checklists; weather alerts; participant preparation comms; post-tour feedback collection,General Inquiries,info@mortonswarmsprings.com,(707) 833-5511,www.mortonswarmsprings.com
Napa Valley Bike Tours,Tour Operator,Napa Valley,6-10 guides,Guided bike tours through vineyards with tasting room stops and different difficulty levels,Participant waiver collection; bike/helmet assignment; route briefing automation; post-tour upsell (merchandise; future bookings),Kellie Macway,kellie@napavalleybiketours.com,(707) 251-8687,www.napavalleybiketours.com
Sonoma County Cooking Classes & Tours,Tour Operator/Hospitality,Sonoma County,4-8 instructors,Food-focused tours; cooking classes; farm-to-table experiences with seasonal menus,Ingredient sourcing coordination; participant dietary restrictions capture; class material distribution; post-class recipe follow-ups,Relish Culinary Adventures,inquiry@relishsonoma.com,(707) 431-9999,www.relishsonoma.com
Helicopter Tours of Napa/Sonoma,Tour Operator,Napa/Sonoma airport areas,2-4 pilots + admin,Aerial tours of wine country; scenic flights; private charters with high-touch luxury service,Flight scheduling coordination; weather-based cancellation management; passenger waiver automation; post-flight thank you + repeat bookings,Helico Sonoma,inquiry@helicosonoma.com,(707) 526-8949,www.helicosonoma.com
Sonoma Getaway Tours,Tour Operator,Sonoma County,3-6 people,Boutique multi-day packages; small group experiences; curated itineraries,Day-by-day itinerary sending; vendor confirmations (restaurants; lodging); group communication threads; post-trip engagement,Randy Johnson,info@getawayadventures.com,(707) 568-3040,www.getawayadventures.com
Napa Valley Food Tours,Tour Operator,Napa Valley,4-8 guides,Culinary-focused tours; restaurant partnerships; tasting experiences with sommelier-led experiences,Restaurant reservation coordination; dietary preference capture; payment splitting; post-tour review requests; sommelier certification updates,Renée ReBell,renee@gourmetfoodandwinetours.com,(415) 250-2273,www.gourmetfoodandwinetours.com
Sonomarin Scenic Tours,Tour Operator,Sonoma County,5-15 people,Local scenic tours; hiking tours; nature-focused experiences in wine country,Booking reminders; weather-based tour modifications; group coordination; liability form collection; post-tour surveys,General Inquiries,Not Available,Not Available,Not Available
Ongaro & Sons,HVAC & Plumbing,Marin/Sonoma/Napa counties,20-30+ employees,"Family-owned since 1932. Full-service HVAC; plumbing; electrical; solar. 100+ years in business. 4.9★ (2644 reviews). Residential & commercial.",Job scheduling/crew assignment from inquiries; appointment confirmation sequences; post-job follow-ups with review requests; service reminder calendar,Ongaro family,info@ongaroandsons.com,(415) 741-2820,www.ongaroandsons.com
Just-In Time Plumbing & Heating,HVAC & Plumbing,Santa Rosa - Sonoma County,4-6 people,"Family-owned; second-generation. Owner: Justin Cicairos. 20+ years experience. License C36 (Plumbing). Residential & light commercial. Trenchless; water heaters; drain cleaning.",Intake call automation; quote generation from photo submissions; appointment scheduling reminders; post-job satisfaction surveys; repeat service scheduling,Justin Cicairos,inquiry@justintimeplumbing.com,(707) 571-1336,www.just-intimeplumbingandheating.com
Bragg's Cooling - Heating & Plumbing,HVAC & Plumbing,Marin/Sonoma/Napa,10-15 people,Mitsubishi Diamond Contractor. Residential & commercial HVAC and plumbing. Diamond Certified. Established contractor.,Seasonal maintenance reminders; thermostat upgrade recommendations; crew dispatch automation; invoice generation; warranty management,Rick Chandler,inquiry@bragghomeservices.com,(707) 633-9427,www.bragghomeservices.com
Elevated Comfort HVAC,HVAC,Sonoma/Marin/Napa,8-12 people,HVAC specialist; residential focus. Diamond Certified. Installation; repair; maintenance.,Maintenance schedule automation; seasonal tune-up reminders; energy efficiency reports; technician dispatch optimization,General Inquiries,inquiry@goelevatedcomfort.com,(707) 284-1039,www.goelevatedcomfort.com
Ken's Pest Control,Pest Control,Napa & Sonoma counties,3-5 people,"Locally owned; 10+ years operation. Family background of 50+ years in pest control. Residential & commercial. Safe; effective treatments.",Pest service scheduling; seasonal treatment reminders; follow-up inspections; customer education emails; repeat booking reminders,Ken,ken@kenspestcontrol.com,(707) 230-6678,www.kenspestcontrol.com
Sono-Marin Pest Solutions,Pest Control,Sonoma & Marin counties,6-10 people,"Family-owned; professional operators. 4.9★ (127+ reviews). Residential & commercial pest control. Eco-friendly IPM approach. Licensed professionals.",Quarterly treatment schedules; customer education sequences; follow-up inspection coordination; recurring payment reminders; annual contract renewals,General Inquiries,inquiry@sonomarinpest.com,(707) 604-8188,www.sonomarinpest.com
We Care Pest Solutions,Pest Control,"Santa Rosa; Sonoma; Marin; Napa; beyond",12-18 people,"Founded 1998 (25+ years). Serves tens of thousands of customers. Bilingual team (English/Spanish). Comprehensive IPM approach. 100% satisfaction guarantee.",Multi-location scheduling; bilingual customer comms; service history tracking; contract renewal automation; referral program management,General Inquiries,inquiry@wecarepest.com,(707) 988-5780,www.wecarepest.com
Landesign Construction & Maintenance,Landscaping,Sonoma County,5-12 crew,Residential landscaping; maintenance; design. Seasonal crew scaling.,Crew scheduling; seasonal maintenance calendar automation; job site check-in/checkout tracking; client before/after documentation; invoicing,General Inquiries,contact@landesign-inc.com,(707) 578-2657,www.landesign-inc.com
