Business,Owner/Contact,Email,Email Type,Vertical,City,Phone,Website,MX Valid
Bardella & Associates,,bardella@bardella.com,direct,Accounting/Tax,Sebastopol,+1-707-829-4800,https://bardella.com/,yes
B.J. Bischoff Performance Improvement Consulting,,bjbischoff@bjbischoff.com,direct,Consulting,Sonoma,,Http://www.bjbischoff.com,yes
Laced Media,,lacey@lacedmedia.com,direct,Marketing Agency,Santa Rosa,+1-707-346-4241,https://www.lacedmedia.com/,yes
New Paradigm Marketing Group,,info@newparadigmmarketing.com,generic-real,Marketing Agency,Santa Rosa,+1-707-236-8048,https://newparadigmmarketing.com/,yes
Farmers Insurance - Robert Stroud Agency,,rstroud@farmersagent.com,direct,Insurance,,+1 707-823-1886,,yes
Schieffer Insurance,,cindy@schiefferagency.com,direct,Insurance,Healdsburg,+1-707-433-3374,http://schiefferagency.com/,yes
Nadrich Accident Injury Lawyers,,admin@personalinjurylawcal.com,generic-real,Lawyer,Santa Rosa,+1-707-525-1188,https://personalinjurylawcal.com/santa-rosa/,yes
Henderson Law,,info@michaelhendersonlaw.com,generic-real,Lawyer,Santa Rosa,+1-707-843-3743,https://michaelhendersonlaw.com,yes
"Setareh Law, APLC Injury Lawyers - Santa Rosa",,info@setarehfirm.com,generic-real,Lawyer,Santa Rosa,+1 707-289-9438,https://www.setarehfirm.com/santa-rosa-personal-injury-lawyer/,yes
BLS Auto Detail,,blsenterprises@gmail.com,direct,Auto Repair,Santa Rosa,+1-707-280-5758,https://blsautodetail.com/,yes
Dynamic Wraps and Tints,,dynwraps@gmail.com,direct,Auto Repair,Novato,+1-628-877-9977,https://www.dynamicvinyl.com/,yes
Blackout Tints,,blackouttint707@gmail.com,direct,Auto Repair,Vallejo,+1-628-244-6732,https://blackouttint.site/home--blackout-tint,yes
SoCo Automotive Center,,office@socoautomotivecenter.com,generic-real,Auto Repair,Santa Rosa,+1-707-708-2121,https://socoautomotivecenter.com/,yes
Crown Hill Materials Main Office,,sales@crownhillmaterials.com,direct,Services Co,Vallejo,,,yes
Horizon ICS,,contact@horizon-us.com,generic-real,Services Co,,+1-707-843-7570,https://www.horizonics.net,yes
Black Oak Builders,,hello@blackoakbuilders.com,generic-real,Services Co,Sebastopol,+1-707-823-2625,https://blackoakbuilders.com/,yes
Animal Kingdom Veterinary Hospital,,animalkingdomveterinaryhospital@yahoo.com,direct,Veterinary,Sebastopol,+1-707-823-5337,https://www.animalkingdomvh.com/,yes
Central Animal Hospital,,custcare@centralanimalhosp.com,generic-real,Veterinary,Petaluma,+1-707-762-2693,https://centralanimalhosp.com/,yes
OralKure,,care@oralkure.com,generic-real,Dentist,Sebastopol,+1-707-823-5308,https://www.oralkure.com/,yes
Chiropractic Neurology Enhancement Center,,drmarjankaveh@gmail.com,direct,Health Clinic,Santa Rosa,+1- 707-228-8405,http://www.chiroenhancement.com/,yes
D'Best Nail Salon,,dbestnailspa.sebastopol@gmail.com,direct,Spa/Beauty,Sebastopol,+1-707-827-6461,https://dbestnailspasebastopol.com/,yes
Happy Place Health Center,,autumn@happyplacehealthcenter.com,direct,Spa/Beauty,Bodega,+1-386-295-5664,https://www.happyplacehealthcenter.com/,yes
A Simple Touch Spa,,asimpletouchspa@yahoo.com,direct,Spa/Beauty,Healdsburg,+1 707-433-6856,https://www.asimpletouchspa.com/,yes
Soul Rituals,,thrive@soulrituals.co,direct,Spa/Beauty,Sebastopol,+1-707-508-6307,https://www.soulscaperituals.co/,yes
UR Beauty Salon,,urbeautysalon967@gmail.com,direct,Salon,Sebastopol,+1-707-329-6435,https://urbeautysalons.com/,yes
Kinfolk Hair,,kinfolkhair@gmail.com,direct,Salon,Sebastopol,+1-707-827-3293,https://www.kinfolkhair.com/,yes
"Shampooh, too",,shampoohs2010@aol.com,direct,Salon,Novato,+1-415-246-1625,https://shampoohs.com/,yes
Bodega Bay Elementary School,Shoreline Unified School District,carrie.odonnell@shorelineunified.org,direct,School,Bodega Bay,+1-707-875-2724,https://bodegabay.shorelineunified.org/,yes
Brook Haven Middle School,Sebastopol Union School District,bstair@sebusd.org,direct,School,Sebastopol,+1-707-829-4590,https://brookhaven.sebastopolschools.org/,yes
Gnomies Preschool,,info@gnomiespreschool.org,generic-real,School,Sebastopol,+1-707-827-8370,https://www.gnomiespreschool.org/,yes
